"PERSON_ID","Employee_count","contract_type","work_condition","job_category","ECONOMIC_SECTOR","PAY","Work_description","Company_category","Working_hours","job_dep"
1342,"tr_5","CDI","C","O","FZ",52852,"382c","ct_9",1652,"77"
1349,"tr_1","CDI","N","O","QB",10731,"563a","ct_7",2973,"02"
1356,"tr_4","AUT","C","O","NZ",24515,"621f","ct_2",1843,"75"
1360,"tr_3","CDI","C","O","OZ",27145,"545d","ct_4",1981,"02"
1373,"tr_4","CDI","P","O","QB",11746,"563b","ct_8",1103,"02"
1376,"tr_4","APP","C","A","FZ",5732,"633a","ct_9",616,"02"
1377,"tr_1","CDI","C","O","RZ",11612,"424a","ct_9",1212,"02"
1381,"tr_1","CDI","C","O","KZ",38432,"478d","ct_9",1833,"02"
1382,"tr_3","CDI","C","O","FZ",18287,"632j","ct_9",1750,"02"
1390,"tr_1","CDI","P","O","FZ",14618,"542a","ct_6",1295,"02"
1393,"tr_4","CDI","C","O","CH",20088,"676e","ct_9",1674,"02"
1396,"tr_1","CDI","P","O","MC",14276,"526b","ct_6",1264,"02"
1401,"tr_1","CDI","P","O","QA",26877,"526b","ct_9",1460,"02"
1403,"tr_1","CDI","C","O","MA",22352,"624e","ct_9",1589,"51"
1414,"tr_6","AUT","C","O","QA",26975,"431f","ct_3",1738,"02"
1427,"tr_4","CDI","C","O","QB",19717,"525d","ct_9",1792,"77"
1428,"tr_2","CDI","C","O","GZ",22199,"462c","ct_9",1666,"95"
1431,"tr_1","CDI","C","O","HZ",16728,"643a","ct_9",1820,"02"
1435,"tr_1","CDI","C","O","EZ",53357,"372b","ct_9",2200,"02"
1438,"tr_3","CDI","C","O","CH",15868,"623e","ct_9",1233,"02"
1442,"tr_2","CDI","C","O","QB",17704,"525d","ct_8",1725,"02"
1452,"tr_1","CDI","N","O","QB",10265,"563b","ct_7",1358,"02"
1467,"tr_6","AUT","C","O","QB",22949,"563a","ct_2",1820,"02"
1482,"tr_4","AUT","C","X","QB",8802,"676e","ct_8",1820,"02"
1497,"tr_3","CDD","C","O","OZ",14935,"525a","ct_2",1784,"02"
1501,"tr_4","CDI","C","O","JA",51785,"388d","ct_9",1166,"79"
1506,"tr_1","CDI","C","O","IZ",17023,"561b","ct_9",1246,"02"
1514,"tr_3","CDI","C","O","NZ",15388,"631a","ct_9",1820,"60"
1520,"tr_6","CDI","C","O","GZ",8506,"554f","ct_9",621,"93"
1529,"tr_3","CDI","C","O","CA",13657,"674c","ct_9",1376,"02"
1530,"tr_1","CDI","C","O","KZ",47210,"467c","ct_9",1708,"51"
1531,"tr_1","CDI","C","O","PZ",25908,"421b","ct_8",1820,"02"
1549,"tr_1","CDI","C","O","LZ",19190,"463e","ct_9",1463,"02"
1556,"tr_6","CDI","C","O","CM",16026,"541d","ct_9",1539,"02"
1557,"tr_4","CDI","C","O","QB",17367,"526a","ct_8",1722,"02"
1568,"tr_3","CDI","C","O","GZ",19899,"543g","ct_9",1898,"02"
1570,"tr_1","CDI","N","O","QB",8538,"563a","ct_7",2143,"02"
1572,"tr_5","CDI","C","O","MB",25896,"342g","ct_1",1814,"80"
1578,"tr_3","CDI","C","O","QA",23284,"526e","ct_9",2103,"02"
1579,"tr_1","CDI","P","O","GZ",10630,"554b","ct_9",828,"02"
1580,"tr_4","CDI","C","O","DZ",24751,"477c","ct_9",1778,"02"
1595,"tr_1","CDI","C","O","NZ",29053,"691e","ct_8",2200,"02"
1606,"tr_1","CDI","C","O","CM",24826,"634c","ct_9",2027,"02"
1609,"tr_5","CDI","C","O","FZ",21420,"472c","ct_9",1786,"93"
1622,"tr_4","CDI","C","O","GZ",30054,"374a","ct_9",911,"51"
1628,"tr_1","CDI","C","O","QA",20297,"526e","ct_9",1836,"02"
1629,"tr_4","CDI","C","O","QB",18649,"525d","ct_8",1820,"02"
1642,"tr_0","CDI","N","O","QB",8267,"563a","ct_7",2479,"02"
1644,"tr_1","CDI","C","O","PZ",57256,"462e","ct_9",2154,"13"
1655,"tr_1","CDI","C","O","PZ",5943,"423a","ct_9",488,"02"
1658,"tr_2","CDI","C","O","MA",20603,"461d","ct_9",1820,"02"
1661,"tr_3","CDI","C","O","MA",19685,"472a","ct_9",1645,"02"
1665,"tr_3","CDI","C","O","GZ",34077,"463d","ct_9",1484,"92"
1692,"tr_6","CDI","C","O","QA",20797,"526a","ct_8",1820,"02"
1699,"tr_4","CDI","C","O","NZ",16670,"628g","ct_9",1749,"02"
1700,"tr_3","CDI","C","O","PZ",30303,"341a","ct_8",1820,"02"
1701,"tr_3","AUT","P","X","QB",9707,"541b","ct_2",1016,"02"
1709,"tr_6","TOA","C","O","CA",14232,"676e","ct_9",1093,"80"
1714,"tr_5","CDI","C","O","CH",27667,"634d","ct_9",1786,"02"
1716,"tr_2","CDI","C","O","QB",9350,"525d","ct_8",678,"02"
1717,"tr_2","CDI","C","O","GZ",17394,"554a","ct_9",1892,"51"
1718,"tr_6","CDI","P","O","QA",8305,"526a","ct_8",1365,"02"
1719,"tr_3","CDI","C","O","GZ",30825,"556a","ct_9",1820,"95"
1723,"tr_2","CDI","P","O","OZ",6892,"524c","ct_2",877,"02"
1725,"tr_4","CDI","C","O","NZ",4045,"671c","ct_9",393,"77"
1727,"tr_1","TTP","C","O","NZ",4189,"676c","ct_9",493,"60"
1730,"tr_2","CDI","C","O","CJ",36120,"383a","ct_9",1820,"02"
1733,"tr_5","CDI","C","O","HZ",22555,"641a","ct_9",2200,"62"
1735,"tr_4","CDI","C","O","NZ",22358,"542a","ct_9",1878,"02"
1743,"tr_4","CDI","C","O","HZ",19960,"641b","ct_5",1575,"02"
1745,"tr_2","CDI","C","O","GZ",20135,"552a","ct_9",1933,"51"
1748,"tr_4","CDI","C","O","QA",24683,"526b","ct_9",1680,"02"
1749,"tr_2","CDI","C","O","NZ",13524,"534a","ct_9",1317,"76"
1760,"tr_2","CDI","C","O","HZ",22280,"546b","ct_9",1568,"77"
1761,"tr_6","CDI","C","O","DZ",39956,"485a","ct_9",1800,"92"
1764,"tr_1","CDI","C","O","NZ",17688,"546b","ct_5",1778,"02"
1770,"tr_4","CDI","C","O","FZ",47932,"472c","ct_9",1820,"02"
1788,"tr_1","TTP","C","O","NZ",7147,"671c","ct_9",600,"02"
1803,"tr_4","CDI","C","O","GZ",9660,"676c","ct_9",815,"02"
1806,"tr_2","CDI","C","O","GZ",36728,"374c","ct_9",1580,"91"
1827,"tr_1","CDI","C","O","CM",23210,"627d","ct_9",1919,"03"
1828,"tr_4","CDI","C","O","PZ",21227,"542a","ct_8",1729,"03"
1836,"tr_6","CDI","C","O","CG",19550,"626b","ct_9",1794,"63"
1838,"tr_5","CDI","C","O","QB",21949,"526a","ct_8",1815,"03"
1849,"tr_2","CDI","C","O","HZ",24288,"451a","ct_9",1824,"03"
1861,"tr_4","CDI","C","O","GZ",24543,"643a","ct_9",1849,"03"
1863,"tr_5","CDI","C","O","NZ",12086,"534a","ct_9",1455,"63"
1864,"tr_1","CDI","C","O","GZ",12436,"554e","ct_9",1417,"03"
1865,"tr_6","CDI","C","O","CH",24652,"623e","ct_9",1667,"42"
1868,"tr_3","CDI","C","O","PZ",36101,"461b","ct_8",1828,"03"
1883,"tr_4","AUT","C","O","QB",27293,"524c","ct_2",1820,"63"
1884,"tr_6","CDI","C","O","HZ",50632,"389c","ct_9",1719,"13"
1886,"tr_4","CDI","C","O","HZ",22437,"641a","ct_9",2161,"03"
1891,"tr_1","CDI","P","O","FZ",12763,"542a","ct_9",1151,"03"
1893,"tr_2","CDI","C","O","MA",19379,"543b","ct_9",1566,"03"
1901,"tr_6","CDI","C","O","CH",22575,"624f","ct_9",1017,"03"
1905,"tr_1","CDI","P","O","MA",16872,"542a","ct_9",1272,"03"
1908,"tr_5","CDI","C","O","CI",9059,"622c","ct_9",921,"63"
1910,"tr_6","CDI","C","O","CH",25991,"475b","ct_9",1512,"03"
1921,"tr_1","CDI","C","O","QB",16888,"526d","ct_8",1633,"03"
1923,"tr_1","CDI","C","O","FZ",9933,"632j","ct_9",634,"03"
1929,"tr_4","CDI","C","O","QB",18354,"526a","ct_8",1593,"03"
1931,"tr_1","CDI","P","O","FZ",13031,"542a","ct_9",1151,"03"
1937,"tr_3","CDI","C","O","PZ",22684,"423b","ct_8",1780,"03"
1947,"tr_6","CDI","C","O","QA",16431,"525d","ct_9",1676,"03"
1948,"tr_1","CDI","C","O","FZ",16134,"633a","ct_6",1677,"03"
1953,"tr_5","CDI","P","O","QB",16044,"526d","ct_8",1458,"03"
1971,"tr_5","CDI","C","O","GZ",18203,"653a","ct_9",1899,"03"
1976,"tr_3","CDD","P","O","QB",2822,"526a","ct_8",255,"03"
1987,"tr_6","CDI","C","O","CB",54978,"386e","ct_9",1820,"03"
1992,"tr_5","CDI","C","O","HZ",19519,"634c","ct_9",1559,"03"
1995,"tr_1","CDI","C","O","PZ",24337,"423b","ct_8",2096,"03"
2012,"tr_4","CDI","C","O","QB",17514,"434c","ct_8",1799,"23"
2014,"tr_3","CDI","C","O","QA",15499,"526e","ct_9",1650,"03"
2017,"tr_6","CDI","C","O","CA",16648,"543g","ct_9",1823,"03"
2020,"tr_0","CDI","C","O","OZ",26192,"461b","ct_8",2058,"63"
2022,"tr_3","AUT","C","X","QB",12575,"526d","ct_8",1677,"03"
2028,"tr_4","CDI","C","O","QB",19144,"525d","ct_8",1440,"03"
2031,"tr_2","CDI","C","O","MA",30874,"461d","ct_9",1916,"03"
2036,"tr_0","CDI","C","O","NZ",18563,"534a","ct_9",1820,"38"
2042,"tr_3","CDI","C","O","QB",38211,"431a","ct_8",1888,"03"
2044,"tr_2","CDI","C","O","NZ",22254,"641a","ct_9",2326,"26"
2056,"tr_2","AUT","C","O","PZ",32565,"341a","ct_1",1820,"03"
2068,"tr_4","APP","C","A","FZ",16862,"477b","ct_9",1149,"63"
2075,"tr_4","CDI","C","O","QB",18365,"526d","ct_8",1785,"03"
2084,"tr_2","CDI","C","O","QA",20828,"526e","ct_9",2200,"36"
2086,"tr_1","CDI","C","O","NZ",28431,"462e","ct_9",2115,"03"
2089,"tr_3","CDI","C","O","RZ",8239,"632k","ct_9",1008,"03"
2097,"tr_6","CDI","C","O","CG",41437,"388b","ct_9",1820,"63"
2108,"tr_3","CDI","C","O","GZ",48941,"463e","ct_9",1529,"03"
2112,"tr_6","CDI","C","O","QA",22998,"526a","ct_9",1827,"03"
2118,"tr_6","CDI","C","O","QA",22194,"526a","ct_3",1853,"03"
